,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
26,BACUNI_04370,0.633896594487407,5.52190612920364e-09,1.85082153954727,1.38554028931586e-167
27,BACUNI_04569,-1.05940396370793,5.85278152067574e-09,-2.17227353199611,1.19657957777058e-29
28,BACUNI_01557,0.745855539296731,5.85278152067574e-09,-1.59990824744077,3.44233864272116e-160
29,BACUNI_04146,-0.611319999575432,5.9159651984128e-09,1.23738917150685,2.2439614303772402e-14
30,BACUNI_01320,-1.90511753513173,6.39912254446874e-09,-0.797679436529299,2.7163039141969603e-23
31,BACUNI_00151,-0.568397512090225,7.812950350896321e-09,-1.71317436877,1.04106978490045e-80
32,BACUNI_04282,0.933162380506783,7.812950350896321e-09,-1.2890667488777,4.25894097968692e-36
33,BACUNI_01141,0.562696207612579,7.967984509114421e-09,1.70803610340194,9.29121178586686e-149
34,BACUNI_02870,-0.629565397604921,8.04304139650416e-09,-2.2627547765794,1.87564087939826e-50
35,BACUNI_02871,-0.720755679920842,8.3821069333012e-09,-1.87815728427783,2.32886762458758e-37
36,BACUNI_02642,0.614230571380851,1.07899926211892e-08,3.35015359629367,8.148281912335641e-277
37,BACUNI_01958,0.545738991515901,1.07899926211892e-08,1.62197921250396,2.7850168214637698e-33
38,BACUNI_03319,-0.83945124925128,1.14358137809788e-08,2.24486302863615,0.0
39,BACUNI_02015,0.590958917340387,1.32466320143759e-08,0.830381170316493,2.57563718949176e-19
40,glsA,1.32860265393973,1.40086489176086e-08,-1.61175559710241,3.3981725702334398e-49
41,BACUNI_03495,-0.583564197600165,1.48254864368491e-08,-1.27030080119343,4.7145122064917e-25
42,BACUNI_02639,0.634937296472131,1.5615963479339e-08,1.88911050391849,6.322196327382819e-125
43,BACUNI_00957,-1.70497454919033,1.64536089411046e-08,-3.59049605757973,0.0
44,BACUNI_02914,-0.890692195435303,1.78901464455268e-08,-2.92497533722397,0.0
45,groS,0.659954118410834,1.83456470169311e-08,3.98333500015477,0.0
46,BACUNI_04613,0.567403694886629,1.8589052703067e-08,-1.1783867279047,5.5108757816585e-64
47,BACUNI_02088,0.599142357478893,1.8589052703067e-08,0.672393835870941,3.4385540470871404e-25
48,BACUNI_00195,-0.568816787980083,1.86196647097818e-08,-1.95080629032047,2.4387762854323698e-49
49,BACUNI_01457,0.600865560804706,1.90880577261697e-08,1.59120566992907,4.12125958092953e-38
50,cbiK,-0.707476427142698,1.97065810786033e-08,-3.69734850690282,0.0
51,cbiK,-0.582445277703673,1.51630721636351e-07,-3.69734850690282,0.0
52,araA,-0.504373667417337,2.15531300336882e-08,-2.45157335223872,1.73054010371621e-139
53,BACUNI_04544,0.692489377871404,2.26454649795562e-08,3.10739134600152,4.21116850307141e-118
54,BACUNI_01849,-1.08479097637942,2.27857832148799e-08,-1.26220835387351,3.44644397807858e-24
55,BACUNI_00197,-0.511591352074007,2.28188830239153e-08,-1.19858632926253,5.0222392734690703e-23
56,BACUNI_01212,0.553452740052052,2.51083351779718e-08,-0.866963533594218,9.677302613497241e-14
57,BACUNI_00727,2.24704916839969,2.52152908159085e-08,2.64107670996474,0.0
58,BACUNI_00198,-0.522757890639049,2.53452944762565e-08,-1.51975442305261,6.85161214558546e-26
