,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
83,BACUNI_01247,1.41907312629209,1.08055574164754e-13,1.47805270517525,3.05724407048514e-108
84,BACUNI_01692,-0.84472352398528,1.08055574164754e-13,-0.769520190286672,1.49774388021389e-49
85,rpsN,-1.02662683603068,1.11588843789634e-13,-2.98317797661078,0.0
86,rplC,-1.07403340172248,1.15586089046086e-13,-2.612595515312,0.0
87,BACUNI_01697,1.00087004046698,1.15969792609594e-13,1.47180078155455,4.30444272273468e-112
88,BACUNI_03401,1.8292600354871,1.15969792609594e-13,2.68406926862828,0.0
89,BACUNI_04549,2.31314535802712,1.15969792609594e-13,3.83739626416244,0.0
90,BACUNI_03402,2.08178081275693,1.15969792609594e-13,2.48237582589914,0.0
91,BACUNI_03885,0.93742965522199,1.16949804345452e-13,1.55972111445486,5.119473524327959e-78
92,fucI,1.11826016593036,1.20169790003518e-13,2.08831824844732,2.56154918581454e-78
93,thrC,-0.77092963381989,1.20911234441185e-13,-2.20945994641784,3.45757384553542e-122
94,BACUNI_01372,1.03332167191206,1.20911234441185e-13,1.76450871295666,4.98779187639863e-159
95,BACUNI_00116,1.27076112457458,1.21436165789846e-13,2.81258721440458,4.8048049716811504e-21
96,BACUNI_04415,1.04208347625628,1.21436165789846e-13,1.36491630051293,3.09719089269356e-52
97,BACUNI_04418,1.27592616879964,1.21436165789846e-13,1.69967982520133,1.69529002048145e-58
98,BACUNI_03760,1.25826926197307,1.26381929530369e-13,0.877861069047499,4.87251659283298e-37
99,BACUNI_01068,1.86137328160114,1.30224963970652e-13,4.65527274111993,3.42616047693586e-170
100,BACUNI_01154,1.7788176407711,1.30224963970652e-13,-2.3609944681955,3.20658275590578e-73
101,atpH,1.31688849776976,1.33907984651381e-13,1.61841673055302,6.3791295401119706e-161
102,pta,-1.2699479265788,1.33907984651381e-13,-2.34616876765997,4.05238017368158e-228
103,trxA,2.04712355991355,1.34561486295657e-13,3.34516205815313,0.0
104,BACUNI_04028,-1.24917353934806,1.34561486295657e-13,-1.27222190865416,4.6976629434144296e-27
105,BACUNI_04370,2.61016392148208,1.39255997861464e-13,4.54282057233949,0.0
106,BACUNI_02714,1.12932256513455,1.49032589705316e-13,1.54944368677011,2.37480710559276e-51
107,BACUNI_02559,-0.811517397573294,1.49032589705316e-13,-1.17402247724857,1.89063069988111e-46
108,BACUNI_04519,1.22418736265235,1.51895715528976e-13,3.56713413183372,0.0
109,BACUNI_00581,-1.34010514768576,1.52137482585189e-13,1.22242485332116,2.12330139619416e-117
110,BACUNI_02628,0.798028572056339,1.54726270349801e-13,1.81618941048882,1.5442427188128e-189
111,pepD,1.21264976629589,1.5484912757017998e-13,2.34534961076344,4.02160571775963e-301
112,pepD,0.701437238204797,7.56204492189805e-13,2.34534961076344,4.02160571775963e-301
113,BACUNI_01994,1.83664411825688,1.55497700573089e-13,2.66063603842445,2.47241014343587e-172
114,BACUNI_03096,-0.729161019761179,1.55497700573089e-13,-2.72427477911201,0.0
115,glnA,1.22125228088427,1.55497700573089e-13,-1.01894127571214,1.82011842080684e-45
116,glnA,-0.625898180075698,6.99372695322881e-13,-1.01894127571214,1.82011842080684e-45
117,glnA,-0.55671042472882,2.99390404885191e-12,-1.01894127571214,1.82011842080684e-45
118,BACUNI_02294,0.732322231703986,1.56580117796233e-13,1.98722146464046,2.0672413227126e-134
119,atpG,1.09372718652875,1.56580117796233e-13,1.39265130984275,8.517253330595849e-158
120,rpsM,-0.953563113499712,1.57987813033249e-13,-2.67923697071559,4.75499608036875e-237
121,BACUNI_01353,1.44290860257161,1.5856213072621199e-13,1.18841816692744,3.2989805922837e-66
122,BACUNI_02749,0.816275922846984,1.59042177498371e-13,1.37344230960663,5.58170936058259e-61
123,pdxH,1.16995865188402,1.59279740398385e-13,1.06482480796899,3.2204969860031796e-22
124,BACUNI_02319,0.710319158201525,1.59279740398385e-13,1.50939266262717,6.653892275978649e-69
125,BACUNI_00609,0.969054122718319,1.59279740398385e-13,2.2702303933622,6.62078234280714e-79
126,pdxB,1.43804722502879,1.59279740398385e-13,2.27232102143042,0.0
127,pdxB,2.09893320657343,2.1905135446041599e-13,2.27232102143042,0.0
128,BACUNI_02933,1.05539501774436,1.59279740398385e-13,2.39684550987713,1.57708875959974e-98
129,dps,1.79451713618591,1.59279740398385e-13,1.68906794080594,1.50154979326263e-76
130,pgl,0.928754946484652,1.60727279085578e-13,2.67178681741876,0.0
131,BACUNI_00211,1.62975430319547,1.72474932894957e-13,2.50576941433766,6.440396756099329e-213
132,gcvT,1.61763157922232,1.77694154541623e-13,1.51148932190468,4.68598317452915e-128
133,BACUNI_03944,0.927787178057887,1.77694154541623e-13,1.19608037478185,2.76652384549272e-64
134,alr,0.967350451940586,1.77694154541623e-13,1.16321411526009,2.58641791979279e-61
135,rpsC,-0.971551773496937,1.77694154541623e-13,-2.82209180310529,0.0
136,BACUNI_03332,1.40035669453087,1.77694154541623e-13,2.10847597721992,5.73826827981583e-249
137,BACUNI_02430,0.991711013591157,1.78070131411996e-13,0.554383968065609,7.85879886281378e-20
138,BACUNI_00220,0.9536297529433,1.78070131411996e-13,0.868033974036207,2.1799174251977802e-14
139,BACUNI_01629,1.54089114088971,1.8247036040832e-13,0.718213116361935,2.36746848345267e-20
140,hup,1.86646329790451,1.8247036040832e-13,1.04356433412073,1.4958044149845e-64
141,hup,0.736943772279481,4.84255129139592e-12,1.04356433412073,1.4958044149845e-64
142,hup,0.679795741405876,1.04117472891412e-11,1.04356433412073,1.4958044149845e-64
143,hup,-0.881765574949327,1.40583842142633e-09,1.04356433412073,1.4958044149845e-64
144,BACUNI_00762,-1.01554909353806,1.8247036040832e-13,-2.50966161858636,6.21007814372412e-170
145,rpmA,-1.13773515201933,1.8725752042414799e-13,-1.40289092105629,3.1550539256348702e-53
146,BACUNI_00400,1.29824865840487,1.90085002316022e-13,2.24729650235542,5.48897569590739e-291
